iter	Passed	Remaining
628	1003	591
629	1004	589
630	1005	588
631	1006	586
632	1007	584
633	1008	582
634	1010	580
635	1011	578
636	1012	577
637	1013	575
638	1014	573
639	1016	571
640	1017	569
641	1018	567
642	1019	566
643	1020	564
644	1021	562
645	1022	560
646	1024	558
647	1025	557
648	1026	555
649	1028	553
650	1029	551
651	1030	549
652	1031	548
653	1032	546
654	1033	544
655	1034	542
656	1035	540
657	1037	539
658	1038	537
659	1039	535
660	1040	533
661	1041	531
662	1042	530
663	1043	528
664	1045	526
665	1046	524
666	1047	522
667	1048	521
668	1050	519
669	1051	517
670	1053	516
671	1054	514
672	1056	513
673	1057	511
674	1058	509
675	1060	508
676	1061	506
677	1062	504
678	1063	502
679	1065	501
680	1066	499
681	1068	498
682	1069	496
683	1071	495
684	1073	493
685	1074	491
686	1075	490
687	1076	488
688	1078	486
689	1079	484
690	1080	483
691	1081	481
692	1083	479
693	1084	478
694	1086	476
695	1087	475
696	1089	473
697	1090	471
698	1091	470
699	1092	468
700	1093	466
701	1095	464
702	1096	463
703	1097	461
704	1098	459
705	1099	457
706	1100	456
707	1101	454
708	1103	452
709	1104	451
710	1105	449
711	1106	447
712	1107	445
713	1109	444
714	1110	442
715	1111	441
716	1113	439
717	1114	437
718	1115	435
719	1116	434
720	1117	432
721	1119	430
722	1120	429
723	1121	427
724	1122	425
725	1123	424
726	1125	422
727	1126	420
728	1127	419
729	1128	417
730	1129	415
731	1131	414
732	1132	412
733	1133	410
734	1134	409
735	1135	407
736	1137	405
737	1138	404
738	1140	402
739	1141	401
740	1146	400
741	1148	399
742	1149	397
743	1150	396
744	1152	394
745	1154	393
746	1155	391
747	1156	389
748	1158	388
749	1159	386
750	1160	384
751	1161	383
752	1162	381
753	1164	379
754	1165	378
755	1166	376
756	1167	374
757	1169	373
758	1170	371
759	1171	369
760	1172	368
761	1173	366
762	1174	364
763	1176	363
764	1177	361
765	1179	360
766	1180	358
767	1182	357
768	1183	355
769	1185	354
770	1187	352
771	1188	350
772	1189	349
773	1190	347
774	1191	345
775	1193	344
776	1195	343
777	1197	341
778	1198	340
779	1200	338
780	1201	336
781	1202	335
782	1203	333
783	1204	331
784	1205	330
785	1207	328
786	1208	327
787	1210	325
788	1211	323
789	1212	322
790	1214	320
791	1215	319
792	1217	317
793	1218	316
794	1219	314
795	1220	312
796	1221	311
797	1223	309
798	1224	307
799	1225	306
800	1226	304
801	1227	302
802	1228	301
803	1229	299
804	1230	298
805	1231	296
806	1232	294
807	1234	293
808	1235	291
809	1236	290
810	1237	288
811	1238	286
812	1239	285
813	1240	283
814	1242	281
815	1243	280
816	1244	278
817	1245	277
818	1246	275
819	1247	273
820	1249	272
821	1250	270
822	1251	269
823	1252	267
824	1253	265
825	1254	264
826	1256	262
827	1257	261
828	1258	259
829	1259	257
830	1260	256
831	1261	254
832	1263	253
833	1264	251
834	1265	250
835	1266	248
836	1267	246
837	1268	245
838	1269	243
839	1270	242
840	1271	240
841	1273	238
842	1274	237
843	1275	235
844	1276	234
845	1277	232
846	1278	231
847	1280	229
848	1281	227
849	1282	226
850	1284	224
851	1285	223
852	1286	221
853	1287	220
854	1288	218
855	1289	216
856	1291	215
857	1292	213
858	1293	212
859	1294	210
860	1295	209
861	1296	207
862	1297	205
863	1298	204
864	1299	202
865	1301	201
866	1302	199
867	1303	198
868	1304	196
869	1305	195
870	1306	193
871	1308	192
872	1309	190
873	1310	188
874	1311	187
875	1312	185
876	1313	184
877	1314	182
878	1315	181
879	1317	179
880	1318	178
881	1319	176
882	1320	174
883	1321	173
884	1323	171
885	1324	170
886	1325	168
887	1326	167
888	1327	165
889	1328	164
890	1329	162
891	1330	161
892	1331	159
893	1333	158
894	1334	156
895	1335	154
896	1336	153
897	1337	151
898	1338	150
899	1339	148
900	1340	147
901	1342	145
902	1343	144
903	1344	142
904	1345	141
905	1347	139
906	1348	138
907	1349	136
908	1351	135
909	1352	133
910	1353	132
911	1354	130
912	1356	129
913	1357	127
914	1358	126
915	1360	124
916	1361	123
917	1363	121
918	1364	120
919	1365	118
920	1366	117
921	1368	115
922	1369	114
923	1370	112
924	1371	111
925	1372	109
926	1373	108
927	1374	106
928	1375	105
929	1376	103
930	1377	102
931	1379	100
932	1380	99
933	1381	97
934	1382	96
935	1383	94
936	1384	93
937	1386	91
938	1387	90
939	1388	88
940	1389	87
941	1390	85
942	1391	84
943	1392	82
944	1394	81
945	1395	79
946	1396	78
947	1397	76
948	1399	75
949	1400	73
950	1401	72
951	1402	70
952	1403	69
953	1404	67
954	1405	66
955	1407	64
956	1408	63
957	1409	61
958	1410	60
959	1411	58
960	1412	57
961	1413	55
962	1415	54
963	1416	52
964	1417	51
965	1418	49
966	1419	48
967	1420	46
968	1421	45
969	1422	44
970	1424	42
971	1425	41
972	1426	39
973	1427	38
974	1428	36
975	1429	35
976	1431	33
977	1432	32
978	1433	30
979	1434	29
980	1437	27
981	1439	26
982	1441	24
983	1442	23
984	1444	21
985	1445	20
986	1446	19
987	1447	17
988	1448	16
989	1450	14
990	1451	13
991	1452	11
992	1453	10
993	1455	8
994	1456	7
995	1457	5
996	1458	4
997	1459	2
998	1460	1
999	1461	0
